譲渡益税履歴

検索開始年月日,検索終了年月日
"2020年10月23日","2020年11月26日"

譲渡益税徴収額合計,所得税,地方税
"19497","14699","4798"

損益合計金額
"140860"

明細数：299件

銘柄コード,銘柄名,累投区分,約定日,数量,受渡日,譲渡益税計算処理分類区分,商品,売却/決済金額,費用,取得/新規年月日,取得/新規金額,損益金額,譲渡益税徴収額,地方税
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","249287","13","2020/10/23","249100","+187","",""
"3031","ラクーンホールディングス","","2020/10/21","200","2020/10/23","信用売決済","株式","505173","27","2020/10/23","504600","+573","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","248887","13","2020/10/23","248700","+187","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","248487","13","2020/10/23","248300","+187","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","249774","26","2020/10/22","239800","+9974","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","251074","26","2020/10/22","241100","+9974","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","242587","13","2020/10/23","242500","+87","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","250287","13","2020/10/23","250100","+187","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","247487","13","2020/10/23","247300","+187","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","250787","13","2020/10/23","250600","+187","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","253987","13","2020/10/23","252100","+1887","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","256487","13","2020/10/23","252300","+4187","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","249687","13","2020/10/23","249500","+187","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","248987","13","2020/10/23","248800","+187","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","246987","13","2020/10/23","246800","+187","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","252987","13","2020/10/23","252400","+587","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","252987","13","2020/10/23","252700","+287","",""
"譲渡益税徴収額",,,,,,,"2020/10/23",,,,,,"35908","8838"
"9273","コーア商事ホールディングス","","2020/10/22","100","2020/10/26","信用売決済","株式","319898","102","2020/10/21","313000","+6898","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","100","2020/10/26","信用売決済","株式","76996","4","2020/10/26","76800","+196","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","155992","8","2020/10/26","155800","+192","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","152592","8","2020/10/26","152200","+392","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","153792","8","2020/10/26","153400","+392","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","152192","8","2020/10/26","151800","+392","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","100","2020/10/26","信用売決済","株式","76996","4","2020/10/26","76800","+196","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","151992","8","2020/10/26","151800","+192","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","151992","8","2020/10/26","151800","+192","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","153792","8","2020/10/26","153400","+392","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","300","2020/10/26","信用売決済","株式","230988","12","2020/10/26","230400","+588","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","155392","8","2020/10/26","155000","+392","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","155992","8","2020/10/26","155600","+392","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","154792","8","2020/10/26","154800","-8","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","400","2020/10/26","信用売決済","株式","309184","16","2020/10/26","308400","+784","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","155992","8","2020/10/26","155600","+392","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","100","2020/10/26","信用売決済","株式","77396","4","2020/10/26","76100","+1296","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","155592","8","2020/10/26","155200","+392","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","155992","8","2020/10/26","155800","+192","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","155592","8","2020/10/26","155400","+192","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","155192","8","2020/10/26","154800","+392","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","155392","8","2020/10/26","155000","+392","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","155392","8","2020/10/26","155000","+392","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","155592","8","2020/10/26","155200","+392","",""
"7779","ＣＹＢＥＲＤＹＮＥ","","2020/10/22","200","2020/10/26","信用売決済","株式","155792","8","2020/10/26","155400","+392","",""
"6291","日本エアーテック","","2020/10/22","100","2020/10/26","信用売決済","株式","177962","38","2020/10/23","174000","+3962","",""
"4482","ウィルズ","","2020/10/22","100","2020/10/26","信用売決済","株式","132725","75","2020/10/16","125700","+7025","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","367980","20","2020/10/26","367500","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","369480","20","2020/10/26","369000","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","369480","20","2020/10/26","369000","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","369480","20","2020/10/26","369000","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","370980","20","2020/10/26","370500","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","200","2020/10/26","信用売決済","株式","741960","40","2020/10/26","741000","+960","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","200","2020/10/26","信用売決済","株式","741960","40","2020/10/26","741000","+960","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","370980","20","2020/10/26","370500","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","365481","19","2020/10/26","364000","+1481","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","372480","20","2020/10/26","371500","+980","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","364981","19","2020/10/26","364000","+981","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","373980","20","2020/10/26","373500","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","381980","20","2020/10/26","382000","-20","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","370980","20","2020/10/26","370500","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","370980","20","2020/10/26","370500","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","381480","20","2020/10/26","380000","+1480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","346980","20","2020/10/26","366500","-19520","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","366980","20","2020/10/26","366500","+480","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","366980","20","2020/10/26","367000","-20","",""
"4393","バンク・オブ・イノベーション","","2020/10/22","100","2020/10/26","信用売決済","株式","371480","20","2020/10/26","371000","+480","",""
